"","Symbol","Chr","Length","Description","Type","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"Rufy2","Rufy2","chr10",8936,"RUN and FYVE domain-containing 2","protein-coding",-0.471034071144811,5.31490684975159,-1.5099380744152,0.167005869847035,0.254390363454816,-6.32362924705348
"Fbxo36","Fbxo36","chr1",900,"F-box protein 36","protein-coding",0.435234997569283,1.64399250613798,0.65316658556232,0.530775250787852,0.626286077834239,-6.32382709853594
"2410012E07Rik","2410012E07Rik","chr14",1357,"RIKEN cDNA 2410012E07 gene","ncRNA",-0.167518254337668,0.130584112922318,-0.18418084374529,0.858154753658999,0.896754805179946,-6.32431503361208
"Cyb5b","Cyb5b","chr8",4294,"cytochrome b5 type B","protein-coding",0.325071586487163,8.22226376875287,1.58309124819708,0.149541254545872,0.233373419057564,-6.32477662891595
"Crebl2","Crebl2","chr6",2536,"cAMP responsive element binding protein-like 2","protein-coding",-0.275767255104397,2.12759565385894,-0.870889083746765,0.407542692439905,0.512212748139055,-6.32589400119137
"Casp3","Casp3","chr8",1466,"caspase 3","protein-coding",0.598480925633941,6.22089582807967,1.52952607625325,0.162379522351677,0.248644792946435,-6.32636503774211
"Dnajb2","Dnajb2","chr1",3203,"DnaJ heat shock protein family (Hsp40) member B2","protein-coding",-0.392371554175272,3.15754259451356,-1.11276048879804,0.296042014202409,0.398326607028636,-6.32765391261871
"Smim24","Smim24","chr10",575,"small integral membrane protein 24","protein-coding",-0.50397366650767,0.244414523519933,-0.358632768501741,0.728708027944798,0.794649668992791,-6.32768111999805
"Dnd1","Dnd1","chr18",1469,"DND microRNA-mediated repression inhibitor 1","protein-coding",-0.23803780681867,1.27549840372706,-0.647699906890702,0.534139530997201,0.629251507217941,-6.32845676208026
"Rbm3os","Rbm3os","chrX",841,"RNA binding motif protein 3, opposite strand","ncRNA",0.159813871630281,0.588216612117694,0.340622286535948,0.741586688850067,0.804218288413679,-6.32847348292015
"Zfp282","Zfp282","chr6",5222,"zinc finger protein 282","protein-coding",-0.262358971681773,5.42417956983209,-1.50542693241869,0.168140073884526,0.255785546691346,-6.32852619669345
"Jag2","Jag2","chr12",4054,"jagged 2","protein-coding",1.57596089977833,2.68847285585292,0.764223943651147,0.465855177795807,0.568068833927586,-6.32874536000061
"Gm4419","Gm4419","chr12",885,"predicted gene 4419","ncRNA",-0.0578136845046796,0.0862387893885831,-0.0830779636742227,0.935697118180149,0.953108387442654,-6.32935205119261
"Lrr1","Lrr1","chr12",1501,"leucine rich repeat protein 1","protein-coding",0.487348884333353,3.74953485332401,1.13194945490478,0.288326386107871,0.390453145960507,-6.32980241671096
"Sspn","Sspn","chr6",4408,"sarcospan","protein-coding",-1.1038237410018,2.43465196690025,-1.0278798024543,0.332962328926807,0.437392610338223,-6.32988873132461
"Lekr1","Lekr1","chr3",4276,"leucine, glutamate and lysine rich 1","protein-coding",-0.0690262687207112,0.04498830827863,-0.0410484237491793,0.968222162957056,0.978498532427114,-6.32989618016541
"Dmtf1","Dmtf1","chr5",3739,"cyclin D binding myb like transcription factor 1","protein-coding",-0.330812017364485,6.19171527342335,-1.55770890974666,0.155406391766066,0.240335105006174,-6.33092441701445
"N4bp1","N4bp1","chr8",6469,"NEDD4 binding protein 1","protein-coding",0.395911075978697,5.7128130375723,1.49281666291014,0.171346869852961,0.259816196846684,-6.33245892981569
"Vps26a","Vps26a","chr10",3252,"VPS26 retromer complex component A","protein-coding",0.282090252379933,6.36185559299066,1.5470032176456,0.15794143634671,0.243586878161727,-6.33267946668159
"Lmo4","Lmo4","chr3",2049,"LIM domain only 4","protein-coding",1.15311482896729,6.59114061569976,1.5236903749132,0.164653156437592,0.251556534259059,-6.3328593380213
"Enpp6","Enpp6","chr8",3065,"ectonucleotide pyrophosphatase/phosphodiesterase 6","protein-coding",0.0638573113016761,0.149070777664407,0.0267728875385303,0.979272011235817,0.986495072561427,-6.33307086677658
"1700008J07Rik","1700008J07Rik","chr7",2432,"RIKEN cDNA 1700008J07 gene","ncRNA",-0.224174153919427,0.822834711769472,-0.500040844475707,0.629630013716325,0.71425685170387,-6.33351448992446
"Krt222","Krt222","chr11",2735,"keratin 222","protein-coding",0.684642411822616,1.19000851492503,0.457445798082014,0.659027561585042,0.738619998358036,-6.33459233586816
"Cerox1","Cerox1","chr17",1349,"cytoplasmic endogenous regulator of oxidative phosphorylation 1","ncRNA",0.987093919932279,1.27323060459898,0.429038237806093,0.678790122436556,0.754763260317818,-6.33499473169917
"Rdm1","Rdm1","chr11",1098,"RAD52 motif 1","protein-coding",0.522229298830962,4.13447542150957,1.21212549965981,0.257814594645736,0.357669733694422,-6.3350092046951
"Maff","Maff","chr15",1800,"v-maf musculoaponeurotic fibrosarcoma oncogene family, protein F (avian)","protein-coding",-0.473835027651224,1.86573363180911,-0.814168013383251,0.437580668204156,0.540618440678764,-6.33535005867629
"Bub3","Bub3","chr7",2055,"BUB3 mitotic checkpoint protein","protein-coding",0.219846924714153,7.91346272625669,1.57418746474249,0.151575611395303,0.235759098317715,-6.33539758590367
"Rmnd5a","Rmnd5a","chr6",6165,"required for meiotic nuclear division 5 homolog A","protein-coding",0.438599802142253,7.19209948416697,1.56706123485419,0.153221721824127,0.237818795628023,-6.33592821408692
"Tbcc","Tbcc","chr17",1843,"tubulin-specific chaperone C","protein-coding",-0.289930520196281,4.43026946421995,-1.36477132519477,0.207072060243614,0.300732688136832,-6.33617627337386
"Luc7l3","Luc7l3","chr11",3296,"LUC7-like 3 (S. cerevisiae)","protein-coding",0.253411972748602,7.87699440408447,1.57293572192412,0.151863599684064,0.236179863276769,-6.3367021150874
"Ajm1","Ajm1","chr2",4684,"apical junction component 1","protein-coding",0.0514399628856118,0.200630105661409,0.0907173933832889,0.929801469481626,0.948673778616281,-6.33673162595145
"Napb","Napb","chr2",3693,"N-ethylmaleimide sensitive fusion protein attachment protein beta","protein-coding",0.0862750257211979,0.20191338683259,0.0740664371464883,0.942660424160894,0.958684587820944,-6.33710172225866
"Ptgir","Ptgir","chr7",3334,"prostaglandin I receptor (IP)","protein-coding",-0.543446521501411,1.02167239424716,-0.59337364001095,0.568254810818619,0.659573636971289,-6.33713340153909
"Brdt","Brdt","chr5",5025,"bromodomain, testis-specific","protein-coding",0.414370441936563,1.08539929211327,0.463019775611854,0.654879647769564,0.73488486326602,-6.33735386837031
"Sla2","Sla2","chr2",2508,"Src-like-adaptor 2","protein-coding",-1.36961014687317,1.98090881843086,-0.936111103393758,0.375590890110937,0.480951266709914,-6.33770809234037
"Smdt1","Smdt1","chr15",585,"single-pass membrane protein with aspartate rich tail 1","protein-coding",-0.493569248708752,6.01019075469988,-1.5479978105724,0.157704373106806,0.24330452176827,-6.33828274602026
"Map4","Map4","chr9",8818,"microtubule-associated protein 4","protein-coding",-0.401255116058582,6.5358902244905,-1.56287094581296,0.154197128334177,0.238902185425279,-6.33847186770878
"Gstp1","Gstp1","chr19",744,"glutathione S-transferase, pi 1","protein-coding",-0.270047422618225,6.18217379316534,-1.5500622586553,0.157213323424212,0.242740818318919,-6.33868652278361
"Farp2","Farp2","chr1",3912,"FERM, RhoGEF and pleckstrin domain protein 2","protein-coding",0.0695332876527238,0.208985919334285,0.0755883262031246,0.941481223076001,0.957773502160155,-6.33882051587313
"Gm7160","Gm7160","chr1",465,"predicted gene 7160","ncRNA",-0.04784270671283,0.173974606699287,-0.106244197331667,0.917833266466287,0.93972615446696,-6.33885840857001
"Ilf2","Ilf2","chr3",1973,"interleukin enhancer binding factor 2","protein-coding",0.234606352393992,7.4408414358295,1.56869458690075,0.152843016512337,0.237429966252677,-6.33891671358077
"Tsen15","Tsen15","chr1",1133,"tRNA splicing endonuclease subunit 15","protein-coding",0.357066644373571,4.89504641327603,1.37903558482173,0.202796664095587,0.296145771167127,-6.33916106464137
"Klhl6","Klhl6","chr16",2405,"kelch-like 6","protein-coding",-1.58963928123272,6.45712490863862,-1.56603035908553,0.154530051351462,0.23933571870826,-6.33926271706906
"Card9","Card9","chr2",1611,"caspase recruitment domain family, member 9","protein-coding",-0.400166230075131,0.102767144988915,-0.20162058272457,0.845056412334201,0.887428129919417,-6.33966850949365
"Itgae","Itgae","chr11",4572,"integrin alpha E, epithelial-associated","protein-coding",-0.0104779462093057,0.159096373507405,-0.022355584109422,0.9826760204308,0.988813419569125,-6.33983012269356
"Rpl31","Rpl31","chr1",1254,"ribosomal protein L31","protein-coding",0.405068618053938,4.07997276673714,1.21020264762178,0.258514284178464,0.358315903267762,-6.34028256348559
"Tuba1a","Tuba1a","chr15",1591,"tubulin, alpha 1A","protein-coding",0.604200459320396,4.85208190827746,1.33663207005266,0.21574573993163,0.310428663362304,-6.34099354606626
"Prkaa1","Prkaa1","chr15",4655,"protein kinase, AMP-activated, alpha 1 catalytic subunit","protein-coding",0.404537159192416,5.6775721102419,1.48190852219919,0.17416430829579,0.26287961737747,-6.3413585493167
"Tmed8","Tmed8","chr12",7179,"transmembrane p24 trafficking protein 8","protein-coding",0.596953504992179,5.18059961000609,1.39670534916788,0.197648598714807,0.290069109217725,-6.34294317581205
"Btla","Btla","chr16",3235,"B and T lymphocyte associated","protein-coding",-1.21295133305459,3.85768912364153,-1.3306172368172,0.218630763191562,0.313545454933507,-6.34318282386525
"Gpn2","Gpn2","chr4",1356,"GPN-loop GTPase 2","protein-coding",0.276171531541716,4.77290049045363,1.36503518349748,0.206992277889758,0.300649112616545,-6.34326528447752
"Atp9b","Atp9b","chr18",5432,"ATPase, class II, type 9B","protein-coding",-0.391086747355604,6.03831157958764,-1.54299376826984,0.158900331119602,0.244786530371214,-6.34327264988462
"Nt5m","Nt5m","chr11",1306,"5',3'-nucleotidase, mitochondrial","protein-coding",-0.239033626119542,3.77823844454159,-1.21849067868672,0.255509495079541,0.355170544152408,-6.34332885663069
"Dicer1","Dicer1","chr12",9851,"dicer 1, ribonuclease type III","protein-coding",0.42260369078782,7.58389537554702,1.56505742884087,0.153687470421175,0.238249058422919,-6.34412533307114
"Pde8b","Pde8b","chr13",4931,"phosphodiesterase 8B","protein-coding",-0.203569917686728,1.14540430201685,-0.579886640050009,0.57691248381838,0.667331139850142,-6.34474042707495
"1500015A07Rik","1500015A07Rik","chr18",1865,"RIKEN cDNA 1500015A07 gene","ncRNA",-0.382931688870409,2.17787256711364,-0.873966393372867,0.405955412671029,0.510692513465294,-6.34485861152227
"Prorsd1","Prorsd1","chr11",2128,"prolyl-tRNA synthetase domain containing 1","protein-coding",0.299186038776229,4.14379413524086,1.23416463691728,0.249905437689147,0.349067181783321,-6.34560127505252
"Fam89a","Fam89a","chr8",1315,"family with sequence similarity 89, member A","protein-coding",0.123884805468605,0.587609700833661,0.299418935561781,0.77175280128899,0.828865004164923,-6.34596790123753
"Slc44a1","Slc44a1","chr4",3278,"solute carrier family 44, member 1","protein-coding",1.12970812232648,3.18180165465904,0.913991999887713,0.386444107821924,0.491195386042714,-6.34632044528572
"Gdpd1","Gdpd1","chr11",2484,"glycerophosphodiester phosphodiesterase domain containing 1","protein-coding",0.877794563338544,3.02523670774591,0.906706496556087,0.389823585130226,0.494818315297201,-6.3470284714371
"Zfp184","Zfp184","chr13",2703,"zinc finger protein 184 (Kruppel-like)","protein-coding",0.275297366219653,0.933077477823887,0.411175526069269,0.69103268642007,0.764405449787106,-6.34758349697272
"Mettl23","Mettl23","chr11",1039,"methyltransferase like 23","protein-coding",-0.392924562560894,4.70527580406347,-1.41135323569425,0.193390591127044,0.28508876827614,-6.34771258680965
"Eef2k","Eef2k","chr7",6325,"eukaryotic elongation factor-2 kinase","protein-coding",-0.310880709632126,6.94424197400709,-1.56042246522519,0.154769655753966,0.239624472168713,-6.34802320755866
"Rab3ip","Rab3ip","chr10",2690,"RAB3A interacting protein","protein-coding",0.389126427048464,4.89353213002161,1.36882146890926,0.205850325416516,0.299311995908885,-6.34819402670222
"1810009A15Rik","1810009A15Rik","chr19",615,"RIKEN cDNA 1810009A15 gene","protein-coding",0.522097716159722,5.31275731800102,1.42096660190259,0.190666563213253,0.282211560066382,-6.34904221290838
"Sec23b","Sec23b","chr2",2915,"SEC23 homolog B, COPII coat complex component","protein-coding",0.305308372131071,6.56203736841913,1.54273224764957,0.158963056427911,0.244855261558645,-6.34956284906255
"Gm10785","Gm10785","chr16",1709,"predicted gene 10785","ncRNA",-0.149497685589021,0.532319428902713,-0.329919618482008,0.749379837743186,0.810524340942774,-6.34958156298527
"Sipa1","Sipa1","chr19",3868,"signal-induced proliferation associated gene 1","protein-coding",-1.26252418991132,6.67961700885931,-1.5600981579135,0.155913843042569,0.241002054024432,-6.35008345942599
"2810454H06Rik","2810454H06Rik","chr6",2825,"RIKEN cDNA 2810454H06 gene","ncRNA",0.0295903754200187,0.275722881859042,0.0644684556123813,0.950075523108885,0.964484657103028,-6.35139400394208
"Cpeb3","Cpeb3","chr19",5792,"cytoplasmic polyadenylation element binding protein 3","protein-coding",0.1343504912045,0.360757278489955,0.105751069252638,0.918235756105796,0.939995885698551,-6.35148813898441
"Rbks","Rbks","chr5",1025,"ribokinase","protein-coding",0.292985336094635,3.12415189176498,1.0029946309118,0.343334268071798,0.447745239062383,-6.35194669404999
"Ndufb9","Ndufb9","chr15",651,"NADH:ubiquinone oxidoreductase subunit B9","protein-coding",0.434022111683771,6.60727787420052,1.53901496230229,0.159857036155165,0.24567253760559,-6.35214130069928
"Gtf3c5","Gtf3c5","chr2",2787,"general transcription factor IIIC, polypeptide 5","protein-coding",0.250909424773348,5.47396734998046,1.46147392566002,0.179552376842004,0.269179253496034,-6.35233418125281
"Map10","Map10","chr8",3548,"microtubule-associated protein 10","protein-coding",-0.168158213116688,0.173472819698899,-0.059353441480683,0.954071692580132,0.967306790295138,-6.35263418310045
"Tesk1","Tesk1","chr4",3620,"testis specific protein kinase 1","protein-coding",0.61183388102433,4.36625543748391,1.23569750668251,0.249362859293,0.348597520730009,-6.3526383425295
"Brf2","Brf2","chr8",1383,"BRF2, RNA polymerase III transcription initiation factor 50kDa subunit","protein-coding",0.293395574538679,3.72705955637402,1.13458372668969,0.287279787009488,0.38932645085249,-6.35278248092461
"Spring1","Spring1","chr5",2670,"SREBF pathway regulator in golgi 1","protein-coding",0.495083466097106,3.49557919045165,1.06314051901806,0.316749620560481,0.420271944561909,-6.35310555886568
"Aaas","Aaas","chr15",1816,"achalasia, adrenocortical insufficiency, alacrimia","protein-coding",0.467392757856147,6.70668419648626,1.54116660618786,0.159339035908864,0.245210915607073,-6.35333011124298
"A630072M18Rik","A630072M18Rik","chr5",5410,"RIKEN cDNA A630072M18 gene","ncRNA",-0.355282289799756,2.63087971340867,-0.967866359610122,0.3596236948304,0.464552591745661,-6.35456403217228
"Rwdd2a","Rwdd2a","chr9",1383,"RWD domain containing 2A","protein-coding",-0.00232581355682168,0.267385514203991,-0.00485681686515472,0.996235980581606,0.997194750773164,-6.35491605051541
"Mrps35","Mrps35","chr6",1067,"mitochondrial ribosomal protein S35","protein-coding",0.383067294088329,5.87915052439598,1.49244366261453,0.17144254232473,0.259932116480453,-6.35556208607428
"Arhgdib","Arhgdib","chr6",1100,"Rho, GDP dissociation inhibitor (GDI) beta","protein-coding",-0.364957778931345,8.71047480481831,-1.56257521973083,0.154266176852529,0.238981780158461,-6.35633968011145
"Rad9b","Rad9b","chr5",1593,"RAD9 checkpoint clamp component B","protein-coding",0.445821280136538,1.3051531843837,0.503461880625453,0.627321707399927,0.712586327216166,-6.35689837926692
"Mrps6","Mrps6","chr16",780,"mitochondrial ribosomal protein S6","protein-coding",-0.3934657400196,4.63908139102566,-1.39117922897553,0.199216937008456,0.292005877056498,-6.35754378640217
"Ephb2","Ephb2","chr4",4780,"Eph receptor B2","protein-coding",-1.25715567558786,0.812145574089742,-0.607270668052777,0.559877762104642,0.652262156322878,-6.357738888363
"Sema6b","Sema6b","chr17",3977,"sema domain, transmembrane domain (TM), and cytoplasmic domain, (semaphorin) 6B","protein-coding",-0.565069791828771,0.342826029387633,-0.31135161707955,0.763193024719085,0.822503816931831,-6.35778571899418
"Ss18l2","Ss18l2","chr9",517,"SS18, nBAF chromatin remodeling complex subunit like 2","protein-coding",0.28730886744832,3.66900171310941,1.12003240290357,0.293099030669188,0.395074468515411,-6.3584458720304
"Svip","Svip","chr7",3235,"small VCP/p97-interacting protein","protein-coding",-0.529824154116961,0.176188038385633,-0.196482533064279,0.848947785141653,0.889725986284476,-6.35957349090623
"2310061I04Rik","2310061I04Rik","chr17",1240,"RIKEN cDNA 2310061I04 gene","protein-coding",0.291147711624854,4.78300852400958,1.35132407702407,0.21117310315408,0.305278683603798,-6.35996842976764
